precinct,address,lon,lat
1,120 church st,-74.00950748,40.71379218
1,120 church st,-74.00950748,40.71379218
1,120 church st,-74.00950748,40.71379218
1,30 w bway,-74.01117085,40.71377868
1,17 murray st,-74.00804423,40.71369239
1,9 murray st,-74.00784833,40.7136035
1,9 murray st,-74.00784833,40.7136035
1,111 church st,-74.00882938,40.71346256
1,111 church st,-74.00882938,40.71346256
1,253 bway,-74.00740832,40.71343409
1,253 bway,-74.00740832,40.71343409
1,25 park pl,-74.00873762,40.71338726
1,25 park pl,-74.00873762,40.71338726
1,23 park pl,-74.0086266,40.71335469
1,50 park pl,-74.01013454,40.71328714
1,17 park pl,-74.00838651,40.71324541
1,6 murray st,-74.00800112,40.71319592
1,11 park pl,-74.00822529,40.71316283
1,11 park pl,-74.00822529,40.71316283
1,250 bway,-74.00781005,40.71297876
1,99 church st,-74.00903339,40.71277573
1,90 church st,-74.01064064,40.71273487
1,90 church st,-74.01064064,40.71273487
1,233 bway,-74.00832743,40.71245752
1,233 bway,-74.00832743,40.71245752
1,10 barclay st,-74.00914144,40.7122184
1,10 barclay st,-74.00914144,40.7122184
1,10 barclay st,-74.00914144,40.7122184
1,10 barclay st,-74.00914144,40.7122184
1,10 barclay st,-74.00914144,40.7122184
1,10 barclay st,-74.00914144,40.7122184
1,10 barclay st,-74.00914144,40.7122184
1,20 vesey st,-74.00952587,40.71204925
1,20 vesey st,-74.00952587,40.71204925
1,20 vesey st,-74.00952587,40.71204925
1,20 vesey st,-74.00952587,40.71204925
1,20 vesey st,-74.00952587,40.71204925
1,20 vesey st,-74.00952587,40.71204925
1,225 bway,-74.00865038,40.71199231
1,225 bway,-74.00865038,40.71199231
1,225 bway,-74.00865038,40.71199231
1,18 vesey st,-74.00937225,40.71198901
1,18 vesey st,-74.00937225,40.71198901
1,14 vesey st,-74.00921799,40.71191809
1,14 vesey st,-74.00921799,40.71191809
1,217 bway,-74.00885033,40.71174852
1,15 park row,-74.00779048,40.71117542
1,15 park row,-74.00779048,40.71117542
1,15 park row,-74.00779048,40.71117542
1,5 beekman st,-74.00695999,40.71114553
1,5 beekman st,-74.00695999,40.71114553
1,5 beekman st,-74.00695999,40.71114553
1,5 beekman st,-74.00695999,40.71114553
1,5 beekman st,-74.00695999,40.71114553
1,15 ann st,-74.00781465,40.71100728
1,8 spruce st,-74.0056764,40.71096993
1,8 spruce st,-74.0056764,40.71096993
1,132 nassau st,-74.00650465,40.71092894
1,132 nassau st,-74.00650465,40.71092894
1,222 bway,-74.00838748,40.71087281
1,222 bway,-74.00838748,40.71087281
1,222 bway,-74.00838748,40.71087281
1,195 bway,-74.00976218,40.71085166
1,195 bway,-74.00976218,40.71085166
1,195 bway,-74.00976218,40.71085166
